artist,song,energy_level,youtube_code
Kiss,Crazy Crazy Nights,0.8690000000000001,z2loCbMSj6g
John Fogerty,Rambunctious Boy,0.8690000000000001,mOpAOcJzXxk
Ginger Baker,Sokoto,0.8690000000000001,mCBUo6Sf9BI
Morrissey,Everyday Is Like Sunday - 2011 Remaster,0.8690000000000001,TqUHU2Ts3FM
Dire Straits,Sultans of Swing,0.868,0fAQhSRLQnM
Ruff Ryders,Dope Money,0.868,4g8zgqy11Uc
Patty Griffin,The Weight - Live,0.868,aEOco2zbIq8
Sum 41,Out For Blood,0.868,3A27bHME73I
OMD,If You Leave - Remastered 2019,0.868,fVnsiFHfeAM
Katy Perry,Con Calma - Remix,0.868,lmCEZhb-z-Q
Magazine,Shot By Both Sides,0.868,ybUqM8jf3mU
Grand Funk Railroad,Footstompin' Music - Remastered 2002,0.868,JDGAENmjt6o
Audioslave,Sound Of A Gun,0.867,_pzKB-STq5k
The Smashing Pumpkins,Cherub Rock - Remastered 2011,0.867,q-KE9lvU810
The Chemical Brothers,Got To Keep On,0.867,rSYwtllbweY
Eve,Who's That Girl?,0.867,8N9PL3Iz3xc
Redman,How High (Remix),0.867,UWS_5AVmXZk
DMX,Go To Sleep,0.867,NskX9xoN1IE
Disclosure,Talk - Disclosure VIP,0.867,zj_ry5774Vs
Climax Blues Band,Together and Free,0.867,5z83af8hwRQ
Michael Jackson,Beat It - Single Version,0.867,oRdxUFDoQe0
The Ruts,Something That I Said,0.866,_8Y9AIl3G_8
Iron Maiden,Fear of the Dark - 2015 Remaster,0.866,bePCRKGUwAY
Sparks,Fat Beat,0.866,3zvedPnnDfY
Keith Urban,Somewhere In My Car,0.866,RPILrZTBedY
PiL Public Image Ltd,Public Image - Remastered,0.866,cifo77azntk
Counting Crows,Big Yellow Taxi,0.866,tvtJPs8IDgU
The Isley Brothers,"Shout, Pts. 1 & 2",0.866,DPVf01jXL7M
Red Hot Chili Peppers,Dani California,0.865,Sb5aq5HcS1A
Marilyn Manson,This Is The New S**t,0.865,4kQMDSw3Aqo
Sheryl Crow,Sweet Child O' Mine,0.865,CowwMR1hDPM
Beck,E-Pro - CapeLion V2 Remix,0.865,X-Y2BL_g3lY
Arcade Fire,Everything Now,0.865,zC30BYR3CUk
Thin Lizzy,Emerald,0.865,tyW5g9DtuU0
Tesla,Heaven's Trail (No Way Out),0.865,ZvFj-KPik0g
Andrew W.K.,Ready To Die,0.8640000000000001,Tlu1ZfYr6vA
Spice Girls,Wannabe,0.8640000000000001,gJLIiF15wjQ
Beastie Boys,Intergalactic - Remastered,0.8640000000000001,NAK66ZNR8s8
Led Zeppelin,Black Dog - Remaster,0.8640000000000001,yBuub4Xe1mw
The Damned,Neat Neat Neat,0.8640000000000001,RlAj3dLXY3U
The Ruts,H Eyes - Single Version,0.8640000000000001,jNKeELHoSys
Chris Cornell,"You Know My Name - From ""Casino Royale"" Soundtrack",0.863,867iyhVFyEw
Texas,In Our Lifetime,0.863,VAKcVrW5qZA
Sparks,Take Me (feat. Gloria Kim),0.863,OQIPxpWBOIE
Siouxsie The Banshees,Arabian Knights,0.862,bfygNGVdJ7g
Magazine,Because You're Frightened - Remastered 2007,0.862,p5scdMnayYY
Helmet,In The Meantime,0.862,9346rQ1d8ik
Extreme,Play With Me,0.862,nDWjWfLU2kQ
Mike Oldfield,Shadow On The Wall,0.862,_euDhMDDRq4
Cinderella,Bad Seamstress Blues / Fallin' Apart At The Seams,0.862,D7wdLAM1yjc
Traveling Wilburys,Tweeter And The Monkey Man,0.861,xzMKTZdkaU4
Sam Hunt,House Party,0.861,1FhRhzAWzLA
Tesla,Hang Tough,0.861,bdrjlFqi1Ak
John Lee Hooker,It Serves You Right To Suffer - The Avener Rework,0.861,v5k6DsawgEM
Maddie Tae,Tourist In This Town,0.861,nPS2gEylzSY
Andrew W.K.,Ever Again,0.861,U_EupMUsb50
Evanescence,Going Under,0.86,CdhqVtpR2ts
Killing Joke,Autonomous Zone,0.86,bAe1p_zXtTs
Simple Minds,Alive And Kicking,0.86,ljIQo1OHkTI
The Kinks,All Day and All of the Night,0.86,fOGMRnKl5co
The Mamas The Papas,I Saw Her Again - Single Version,0.86,4vaIBZCLUQU
Graham Parker,I Discovered America,0.86,lJiG2sK4AGc
Kip Moore,Last Shot,0.8590000000000001,Jh0BnGg22Tg
Roger Daltrey,I'm Free,0.8590000000000001,rGa70tVYVKo
Sum 41,With Me,0.8590000000000001,g8z-qP34-1Y
Take That,Shine,0.8590000000000001,JwC1Ctrj6Xk
Michael Jackson,Thriller,0.8590000000000001,sOnqjkJTMaA
Graham Parker,Local Girls - Digitally Remastered 1996,0.8590000000000001,zapFcaS8xtM
Kiss,Heaven's On Fire,0.8590000000000001,EZjevnnkA20
Maroon 5,This Love,0.8590000000000001,XPpTgCho5ZA
Metallica,For Whom The Bell Tolls (Remastered),0.858,TStMsQhwceI
T. Rex,Teenage Dream,0.858,aErOhwAmZ1Y
Poco,5,0.858,WVSs-xO77Zk
The Cranberries,Promises,0.858,hUFPooqKllA
Elton John,Don't Go Breaking My Heart,0.858,z0qW9P-uYfM
Sonic Youth,Incinerate,0.858,rP3ovD8ZSS4
Thomas Rhett,T-Shirt,0.857,_VVtOIzPg9Q
Brantley Gilbert,Bottoms Up,0.857,ukick72Qafc
Magazine,Definitive Gaze,0.857,TPPWWkhRT8I
Billy Preston,My Sweet Lord - Live,0.856,BRBTlkScyEA
Megadeth,Sweating Bullets - Remastered 2004,0.856,_mQqK2lC5Kg
Eric B. Rakim,Paid In Full,0.855,E7t8eoA_1jQ
Eve,Tambourine,0.855,sWUV71G5W8g
INXS,Mystify,0.855,26ELh7P2ZtA
Luke Bryan,Kick The Dust Up,0.855,Gz2oHRD2pF4
Four Tops,Standing In The Shadows Of Love,0.855,xhtzMwA5gJI
Queen,Don't Stop Me Now - Remastered,0.855,IgxaYVdSf-0
George Harrison,Got My Mind Set On You - Remastered 2004,0.8540000000000001,_71w4UA2Oxo
Eazy-E,Gimmie That Nutt,0.8540000000000001,caSi8ccqWmg
Audioslave,Show Me How to Live,0.8540000000000001,vVXIK1xCRpY
The Beach Boys,Surfin' U.S.A. - Remastered,0.8540000000000001,H0bhSGfKTs4
Nicki Minaj,Woman Like Me (feat. Nicki Minaj),0.8540000000000001,fSOpiZo1BAA
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,0.8540000000000001,uzbnrfd9vLQ
Steve Miller Band,Rock’n Me - Alternate Version 1,0.8540000000000001,UUsQYx0lH6Q
Rush,Limelight,0.8540000000000001,ZiRuj2_czzw
Big Country,Look Away,0.8540000000000001,enZ3cLD-9kQ
Eminem,'Till I Collapse,0.853,ytQ5CYE1VZw
Ruff Ryders,What Ya Want,0.853,f9o8VUYp_O4
Snoop Dogg,Gin And Juice (feat. Dat Nigga Daz),0.853,OKGJOtRaqMg
Eazy-E,Real Muthaphuckkin' G's,0.853,fJuapp9SORA
Teena Marie,Lovergirl,0.853,1fyWgjhe_Zg
Rory Gallagher,Shadow Play,0.853,m04dNK-e7pQ
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,0.853,nrIPxlFzDi0
Chuck Berry,You Never Can Tell,0.852,HaxxrrUXKMo
Steppenwolf,Rock Me,0.852,p9oXFNbUdn4
Ringo Starr,With A Little Help From My Friends,0.852,awBy_K30Pe8
Public Enemy,harder than you think,0.852,pCx5Std7mCo
The Tubes,Tip Of My Tongue,0.852,mHQLywYvBcU
Phil Manzanera,Fuente esperanza - Nueva mezcla 2000 Remastered Version,0.852,8FTbbslh2Bw
George Michael,Freedom! '90 - Remastered,0.852,FaEjDk3lgcI
Tears For Fears,Pale Shelter - 2nd Single Version,0.852,l_kN_DJQJ3U
The Ozark Mountain Daredevils,Chicken Train,0.852,DSZSxyCtF1M
Evanescence,Haunted,0.852,di8zQcabGBc
Jeru the Damaja,Ain't The Devil Happy,0.851,qkJpjc3IU0M
Ruff Ryders,Down Bottom,0.851,kcdgExRatrA
Robert Plant,Carry Fire,0.851,Z4UD8DKAu04
Black Eyed Peas,Boom Boom Pow,0.851,4m48GqaOz90
Rob Zombie,"Never Gonna Stop (The Red, Red Kroovy)",0.85,0698sTH7mUk
Queens Of The Stone Age,If I Had A Tail,0.85,RjYZToXuJaM
Steve Winwood,While My Guitar Gently Weeps,0.85,6SFNW5F8K9Y
Stevie Wonder,Higher Ground,0.85,4wZ3ZG_Wams
Big Star,September Gurls,0.85,BNKSs1J38EA
Creedence Clearwater Revival,Up Around The Bend,0.85,BnRsaHXHznQ
Papa Roach,Born For Greatness,0.85,6enZdk9LTqs
Toby Keith,Beer For My Horses,0.85,o1JOFhfoAD4
Tim McGraw,Something Like That,0.85,HYRFgWbalBE
Ice Cube,Arrest The President,0.85,y9oUnC8JtXY
Thomas Rhett,Look What God Gave Her,0.85,AbXahmBSLTk
Kool And The Gang,Jungle Boogie,0.85,QHGOO73Gxg4
New Edition,If It Isn't Love,0.85,ReI6gvzVP0Y
Robert Glasper,"This Changes Everything [Feat. Buddy, Denzel Curry, Terrace Martin, James Poyser]",0.85,jY_EZdcv2X0
Dierks Bentley,5-1-5-0,0.8490000000000001,Aa9Y0Hlrlbs
Eddie Cochran,Long Tall Sally,0.8490000000000001,3LzsW4sLHLU
The All-American Rejects,My Paper Heart,0.8490000000000001,voPz7hygOhk
Jimmy Eat World,The Middle,0.8490000000000001,oKsxPW6i3pM
The Beatles,Twist And Shout - Remastered 2009,0.8490000000000001,2RicaUqd9Hg
Lionel Richie,My Destiny,0.848,9viCQ-x89M0
Eric B. Rakim,I Know You Got Soul,0.848,fvAAETHrXv0
Boyz II Men,Motownphilly,0.848,Rciee-oQLoI
Eddie Cochran,Nervous Breakdown,0.848,rY5MDivdcEE
Brantley Gilbert,Not Like Us,0.848,3oRwCF7pbeI
Marvin Gaye,Got To Give It Up - Pt. 1,0.847,Ayyy-03ITDg
Paul Weller,The Changingman,0.847,0v9WhRpQw8E
Small Faces,What'Cha Gonna Do About It,0.847,mYvi-l2SRnA
Jimi Hendrix,Foxey Lady,0.847,_PVjcIO4MT4
Ocean Colour Scene,The Riverboat Song,0.846,brzzM31G4x8
Pearl Jam,Jeremy,0.846,MS91knuzoOA
Morrissey,You Have Killed Me,0.846,cC4SBm7gQys
Def Leppard,Hysteria,0.846,yMzyleT2FqY
Small Faces,Ogdens' Nut Gone Flake (Early Session Version) (2018 Remaster),0.846,2_GXs7xRJZY
Method Man,How High - Remix,0.845,d-PHOtTm0IU
Thomas Rhett,Life Changes,0.845,9a6SCzD7dJ0
Audioslave,Be Yourself,0.845,WC5FdFlUcl0
Metallica,Sad But True,0.845,O_4OfD-wmGs
Spice Girls,Stop,0.845,5JD6ejmlpa8
Redman,How High - Remix,0.845,UWS_5AVmXZk
Graham Parker,Stupefaction,0.845,GPFOU-GWIEQ
Morrissey,Let Me Kiss You,0.845,OmPw3SPgWrw
Keith Urban,The Fighter,0.845,GzT4p-OaJ5c
Tesla,Paradise,0.8440000000000001,7m7FpzOxbkQ
Bee Gees,You Win Again,0.8440000000000001,xviuC-0FwQ0
Gary Moore,Over The Hills And Far Away,0.8440000000000001,7IocRCDWB5k
Jessie J,Do It Like A Dude,0.8440000000000001,pOf3kYtwASo
Phil Manzanera,Flor venenosa - 2000 Remastered Version,0.8440000000000001,kx1BKMsRX3M
Lynyrd Skynyrd,Free Bird,0.8440000000000001,D0W1v0kOELA
Eminem,Rap God,0.843,XbGs_qK2PQA
Joe Jackson,Got The Time,0.843,u4WAh_xpmZY
Queens Of The Stone Age,The Way You Used to Do,0.843,GvyNyFXHj4k
Diana Ross,Upside Down,0.843,GIAtE6ywgwA
Texas,Inner Smile,0.843,DfzbVTQE3iw
Brantley Gilbert,Kick It In The Sticks,0.843,ve8sNTqrzCw
Level 42,Lessons In Love,0.843,9x1RcVrGjGM
Evanescence,Everybody's Fool,0.843,jhC1pI76Rqo
Jimmy Eat World,Surviving,0.843,hojefLPSGrM
Captain Beefheart,Zig Zag Wanderer,0.843,rxZWdGOwLFI
Jack Bruce,Into Money,0.8420000000000001,FUN5NBntMYg
Gong,Pimpa's Paradise,0.8420000000000001,TtKCr4BoQpA
Grace Jones,Slave To The Rhythm - Hot Blooded Version,0.8420000000000001,4BGfgpsul1k
Toby Keith,As Good As I Once Was,0.8420000000000001,ldQrapQ4d0Y
Madonna,Like a Prayer,0.8420000000000001,79fzeNUqQbQ
Kiss,I Was Made For Lovin' You,0.8420000000000001,ZhIsAZO5gl0
Jack Bruce,Never Tell Your Mother She's Out Of Tune,0.8420000000000001,DnO1UDqsvjI
Bo Diddley,Look At Grandma,0.8420000000000001,_g09hIGepnQ
Iggy Pop,Real Wild Child (Wild One),0.8420000000000001,def3ob2h-1s
The Moody Blues,The Story In Your Eyes,0.8420000000000001,t-iJ47in9YQ
Isaac Hayes,Run Fay Run,0.8420000000000001,2mPOR-Eb87o
Soundgarden,Outshined,0.8420000000000001,sNh-iw7gsuI
Texas,Say What You Want,0.841,5n1mfhFBYdg
Justin Bieber,Baby,0.841,kffacxfA7G4
Helmet,I Know,0.841,2jueWz9Vwc4
No Doubt,Spiderwebs,0.841,6ZktNItwexo
Mike the Mechanics,Over My Shoulder,0.841,H7m1PO7wvYM
Poco,Tiempos Bajo el Sol,0.841,iICJhQWRZ4I
R.E.M.,The One I Love - Remastered,0.841,NImocYmzR7Y
Ludacris,Stand Up,0.841,pZG7IK99OvI
Morrissey,Back on the Chain Gang,0.841,q_hInzyYN3o
Robert Palmer,Simply Irresistible,0.841,UrGw_cOgwa8
The Cure,Boys Don't Cry - Single Version,0.841,9GkVhgIeGJQ
Ringo Starr,What’s My Name,0.84,l6rNCbKi6z8
Madonna,Vogue,0.84,GuJQSAiODqI
Poison,I Won't Forget You - Remastered,0.84,rTNbZ35660Q
Keith Urban,Somebody Like You,0.84,eiBinM-f-Pk
Poco,Chiripa,0.84,rjd3IS_fN4c
The Libertines,Don’t Look Back Into The Sun,0.84,jLYsIESNtUc
U2,Pride (In The Name Of Love) - Remastered 2009,0.8390000000000001,LHcP4MWABGY
The Cadillac Three,The South,0.8390000000000001,_IZcoiPiXS8
Phil Manzanera,"TNK (Tomorrow Never Knows) - Live From The Queen Elizabeth Hall,United Kingdom/1976",0.8390000000000001,9S3UVjZ2ICo
Jurassic 5,Quality Control,0.8390000000000001,PgpDN-bARwc
Pulp,Babies,0.8390000000000001,38by00DGid0
The Ozark Mountain Daredevils,If You Wanna Get to Heaven 20/20,0.8390000000000001,t665YqX44yY
Rush,Subdivisions,0.838,EYYdQB0mkEU
DMX,Who We Be,0.838,sB2_MmtMoIc
Sum 41,In Too Deep,0.838,emGri7i8Y2Y
Jadakiss,Soul Food,0.838,aq4gWNcR_sc
Cutting Crew,Big Noise,0.838,6-H8byWAlIM
Rush,Working Man,0.8370000000000001,iIGKlicb8n0
George Michael,I Knew You Were Waiting (For Me),0.8370000000000001,fDxzQJaA228
Ice Cube,You Can Do It,0.8370000000000001,6auk1TkGtVQ
Extreme,Cupid's Dead,0.8370000000000001,fLx2Z_uu_1I
Joss Stone,Tell Me What We're Gonna Do Now,0.8370000000000001,Kwynr6vCcgk
Marilyn Manson,The Beautiful People,0.8370000000000001,Ypkv0HeUvTc
Meat Loaf,Bat Out of Hell,0.8370000000000001,3QGMCSCFoKA
Redman,Part II,0.8370000000000001,0mzGAuDPmWs
DMX,What These Bitches Want,0.8370000000000001,SSAmFxLJOgI
Method Man,Part II,0.8370000000000001,42p2CoUj7ZQ
The Jam,Going Underground,0.836,AE1ct5yEuVY
Little Big Town,Better Man,0.836,ph9NQ8ASmX4
Traveling Wilburys,End Of The Line,0.836,UMVjToYOjbM
Derek And The Dominos,Little Wing - 40th Anniversary Version / 2010 Remastered,0.836,fhb7Wq5-SgA
Jack Bruce,Sunshine of Your Love,0.836,EqtcF5iKryc
Jadakiss,ME,0.835,QWW-Vu-juPk
Siouxsie The Banshees,Spellbound,0.835,TjvvK-Rj0WI
Huey Lewis The News,Back In Time,0.835,ujJFfAUY3D4
Massive Attack,Unfinished Sympathy - 2012 Mix/Master,0.835,oWohPJHicFE
Reba McEntire,Going Out Like That,0.835,SDZwBjJQ3ZA
Ocean Colour Scene,Up On The Downside,0.835,xIGYn6A0AX4
A Thousand Horses,My Time's Comin',0.835,VIq0TRkKJf4
Helmet,Just Another Victim,0.8340000000000001,YhTffL5-9d4
Brantley Gilbert,The Ones That Like Me,0.8340000000000001,WUFpGGe8U_E
Bryan Adams,Summer Of '69,0.8340000000000001,eFjjO_lhf9c
George Harrison,What Is Life,0.8340000000000001,fiH9edd25Bc
The Kooks,So Good Looking,0.833,M159vwIKhM4
The Clash,Should I Stay or Should I Go - Remastered,0.833,shh0FCEsJg4
Steven Tyler,Love Is Your Name,0.833,d0n40GVcj64
John Lennon,Mind Games - Remastered 2010,0.833,7oUo2j9XuqE
Keane,Everybody's Changing,0.833,Zx4Hjq6KwO0
Snoop Dogg,Who Am I (What's My Name)?,0.833,UbI2TS0fW4Q
Thelma Houston,Don’t Leave Me This Way (Re-Recorded),0.833,faTsA3VaJC4
Blondie,Call Me,0.833,StKVS0eI85I
Thin Lizzy,The Rocker,0.833,AsD7VWZxjbk
Jeru the Damaja,D. Original,0.833,DZo-nQc8gmo
Gang Starr,Work,0.8320000000000001,GSszWXkDHa8
Frankie Goes To Hollywood,Welcome To The Pleasuredome - Escape Act Video Mix,0.8320000000000001,2uyVz1_hiu4
Sex Pistols,Anarchy In the UK,0.8320000000000001,cBojbjoMttI
Diana Ross,I'm Coming Out,0.8320000000000001,zbYcte4ZEgQ
Sensational Alex Harvey Band,Giddy Up A Ding Dong,0.8320000000000001,CmiOeddnddE
Fats Domino,Blue Monday,0.8320000000000001,mDO78-0a4ho
Lady GaGa,Telephone,0.8320000000000001,EVBsypHzF3U
Belinda Carlisle,Runaway Horses,0.8320000000000001,z5gQt126Ka8
Jadakiss,Time's Up,0.8320000000000001,trOK7wx8GDo
Billy Preston,Outa-Space,0.8320000000000001,UuJVleNkJj0
Katy Perry,Firework,0.8320000000000001,QGJuMBdaqIw
Sparks,My Spine Is Tingling,0.8320000000000001,ixVfbx6klEQ
Freddie Mercury,Living on My Own - Julian Raymond Album Mix,0.831,T3qbwF_vjk0
Steve Hillage,Hurdy Gurdy Man - 2006 Digital Remaster,0.831,Co5gWhp4uG0
Apache Indian,Arranged Marriage,0.831,8W2m7BpIofM
